,paper_id,category,year,keywords,cited_by
1508,10.1109/ICASSP39728.2021.9414832,EdgeML,2021,efficient strategy federated allocation dynamic performance information collecting processed stochastic,0
1510,10.1109/TNSM.2022.3153279,EdgeML,2022,distribution management reliability systems adaptations considering prediction reinforcement requirements appropriate,0
1513,10.1016/j.jpdc.2023.05.001,EdgeML,2023,computational particular based performance implementing practical detection intrusion approach considering,1
1514,10.1109/TMC.2022.3154644,EdgeML,2023,existing training learning fluctuations solutions accuracy collaboratively model distributed,0
1516,10.1109/ACCESS.2022.3140719,EdgeML,2022,networks reinforcement optimization complexity approaches caching coexisting increase experience massive,0
1522,10.1109/ICWS.2019.00040,EdgeML,2019,systems requirements computing architecture distributed optimization prediction environments simultaneous networked,4
1523,10.1504/IJWGS.2021.118395,EdgeML,2021,data computing different important paradigm internet iot things increasing applications,0
1528,10.1016/j.iot.2023.100729,EdgeML,2023,applications evaluation learning performance expanding systems techniques intelligence communications technologies,0
1531,10.1016/j.future.2020.06.013,EdgeML,2020,classification computational applications potential optimization control executing centric computation complex,6
1533,10.1109/ACCESS.2023.3263483,EdgeML,2023,cellular resources variance experiments orchestration centric architecture station allowing mobility,0
1534,10.1109/TII.2021.3110808,EdgeML,2022,prediction verification results integrated systems industrial system services considerable protection,1
1535,10.1109/IC2E52221.2021.00034,EdgeML,2021,environments combination infrastructure operations artificial technologies computing enable applications emerging,2
1541,10.1587/transinf.2022PAP0001,EdgeML,2022,computing learning inference convergence requirements communication providing environment gaining implement,0
1545,10.1016/j.compeleceng.2023.108760,EdgeML,2023,developed detection device framework present industrial predictive systems artificial implemented,0
1551,10.1109/TWC.2020.3010522,EdgeML,2020,learning allocation optimization communication computational considerable generate process intelligence empower,7
1552,10.1109/TMC.2021.3096846,EdgeML,2023,constraints computing learning dynamics solutions completion models data federated critical,6
1554,10.1145/3477314.3507322,EdgeML,2022,models architecture computing distributed centralized baseline generation networks communication,1
1557,10.1016/j.iot.2022.100674,EdgeML,2023,computing management environments solutions based learning promising reinforcement techniques challenging,3
1559,10.1016/j.compeleceng.2022.107818,EdgeML,2022,learning data privacy security ensure consideration important improve provides overview,1
1561,10.1145/3464419,EdgeML,2021,demonstrated organizations fundamentally altering interact communication centralized frameworks significant different,0
1563,10.1109/MSP.2021.3125282,EdgeML,2022,learning devices centralized largely availability dramatic success considerations vehicles sensors,2
1565,10.1117/12.2526661,EdgeML,2019,critical operational operations integrate militarily evolving concepts capabilities artificial vision,2
1572,10.1016/j.comnet.2023.109807,EdgeML,2023,communication algorithms artificial networks computer ml innovation technologies innovative methodologies,0
1574,10.1109/AICAS54282.2022.9870001,EdgeML,2022,neurological learning tuning particularly efficient disorders variations biomarkers cases patient,0
1576,10.1109/ICDCS.2019.00148,EdgeML,2019,inference connected forming approaches significant artificial network representation partition knowledge,4
1579,10.1109/TNET.2022.3189077,EdgeML,2023,approach information traditional learning network reducing possible logical instead desired,1
1581,10.1016/j.jpdc.2020.03.006,EdgeML,2020,performance predictions workloads services heterogeneous provide virtual effectively appropriate configuration,1
1582,10.1109/NEWCAS50681.2021.9462787,EdgeML,2021,recognition processing system systems expressions platforms commonly computational complexity underlying,1
1586,10.1016/j.eswa.2022.118641,EdgeML,2023,intrusion resources enterprise environments systems network detection expertly computational employment,1
1590,10.1109/TII.2021.3097131,EdgeML,2022,services processing effective transmissions information continuous insufficient increase results framework,2
1591,10.1145/3357223.3362708,EdgeML,2019,applications data systems model edge technologies computing requirements emerging learning,2
1592,10.1109/WCNC51071.2022.9771769,EdgeML,2022,computing reinforcement baseline communications maneuverability agility facilities experience important quality,1
1594,10.1109/MNET.001.1800510,EdgeML,2019,computing framework intelligence incorporating operations technologies industrial manufacturing typically,14
1597,10.1016/j.future.2020.08.037,EdgeML,2021,computing calculations collaborative cooperate alternating direction coordination distributed increases pressure,5
1598,10.1145/3278721.3278778,EdgeML,2018,techniques services devices challenges applications emerging learning pressing challenging personal,2
1599,10.1109/TII.2020.2963962,EdgeML,2021,learning authentication industrial proposed based attacks scheme temporal responses identify,2
1602,10.1109/JIOT.2023.3268771,EdgeML,2023,computing training deployment environment ability processes conditions manufacturing changing devices,0
1607,10.1109/MNET.001.1800505,EdgeML,2019,cognitive adaptive dynamic integrated manufacturing feature notable industry technology applications,3
1608,10.1109/LCOMM.2019.2922658,EdgeML,2019,processor learning communication device connected channel classification regression stochastic training,5
1609,10.1109/ICAPAI58366.2023.10194095,EdgeML,2023,predictions model local challenging caching intelligent work problem technique federated,0
1613,10.1016/j.jnca.2022.103558,EdgeML,2023,challenges techniques computing related performance networking processing network rising partially,1
1617,10.1109/ICDCS47774.2020.00062,EdgeML,2020,computation communication computing complexity context dimensional centers fundamental capability reduction,1
1629,10.1109/TBDATA.2018.2829886,EdgeML,2020,learning differential methods sensitive implement strategy protection training datasets dealing,4
1632,10.1109/JSEN.2023.3287580,EdgeML,2023,system models environment learning training model computing heterogeneous process processing,0
1633,10.1103/PhysRevMaterials.3.033604,EdgeML,2019,absorption structure coordination learning transition characterization element spectroscopy technique oxidation,8
1637,10.1145/3453142.3492329,EdgeML,2021,classification learning application framework computing setting devices computational constrained limited,2
1638,10.1109/GLOBECOM46510.2021.9685493,EdgeML,2021,system learning computation communication systems network mechanism modified resources distributed,2
1642,10.12720/jait.14.1.153-159,EdgeML,2023,computing solutions devices detection development processing processes environments improving operations,0
1647,10.1109/EDGE60047.2023.00056,EdgeML,2023,development microcontrollers potential challenges computing increasingly particularly applications context application,0
1648,10.3389/fncom.2020.00014,EdgeML,2020,computing learning efficient demonstrate accelerating making probabilistic present simulations specifically,1
1653,10.1109/INFOCOM42981.2021.9488733,EdgeML,2021,federated provisioning networks resource transference cumulative formulate convergence integer continuous,1
1654,10.1016/j.procs.2020.03.289,EdgeML,2020,computation devices performance making learning proposed education recognition entertainment fields,6
1657,10.1109/ACCESS.2021.3050841,EdgeML,2021,functionalities energy solutions learning management availability network based consumption increase,2
1661,10.1016/j.compeleceng.2022.107763,EdgeML,2022,models computing devices counting networks learning dealing large problems desirable,1
1662,10.1145/3378679.3394528,EdgeML,2020,constrained participation asynchronous computing environments collaborative related learning participating including,9
1680,10.1109/OJCOMS.2023.3265425,EdgeML,2023,computing communication techniques communications considerably consumption typically solutions inefficient computation,0
1682,10.1109/TETC.2019.2963091,EdgeML,2021,networks future furthermore solutions computing resources technology important devices network,3
1696,10.1109/TII.2021.3065719,EdgeML,2021,computing federated dimensional consumption parameters requirement significant especially applications environment,1
1698,10.1145/3485447.3511990,EdgeML,2022,computing inference applications prediction powering increasing learning number facilitates artificial,0
1699,10.1109/TNSE.2022.3227287,EdgeML,2023,data network networks consider dataset functions communication efficient leverage learning,0
1703,10.3788/LOP56.151502,EdgeML,2019,salient residual background complex saliency detection constructed network proposed constructing,1
1708,10.1007/s00034-019-01226-7,EdgeML,2020,computing supports transforming processed collected learning integration logical investigation algorithms,1
1710,10.1142/S0217751X19300199,EdgeML,2019,transforming simulation learning analysis particle experimental applications theoretical phenomenological highlighted,3
1712,10.1109/OJCOMS.2023.3274394,EdgeML,2023,learning federated potential consumption solution allowing alternatives centralized appealing heterogeneous,0
1718,10.1109/JIOT.2019.2963371,EdgeML,2020,reliability framework computing performance optimization selection computational implementation intensive provides,10
1719,10.1186/s40537-020-00303-y,EdgeML,2020,environments computing architecture techniques systems deployment development functions e.g. realisation,5
1720,10.1016/j.dcan.2021.04.001,EdgeML,2021,learning communication computing resource asynchronous develop advancement collecting opportunities models,4
1721,10.1007/s12243-021-00871-x,EdgeML,2022,learning passive beacons attackers federated clients accuracy considered detecting networks,2
1724,10.1007/s11036-020-01586-4,EdgeML,2020,learning computing computation parameters preserving significant advantages presents applications network,5
1727,10.1109/ICMLA52953.2021.00188,EdgeML,2021,model multivariate incrementally incremental regression performance environment collecting building server,0
1730,10.1109/ICCD46524.2019.00098,EdgeML,2019,properties data computing system systems placement learning applications storing generated,1
1731,10.1016/j.eswa.2022.119016,EdgeML,2023,convolutional potential embedding devices machines powerful significantly instances distribution conditions,0
1732,10.1002/cpe.5101,EdgeML,2019,framework adaptive computing organizations intrusion resources systems implemented significantly effectiveness,6
1743,10.1109/JPROC.2019.2941458,EdgeML,2019,computing applications distributed training processing recognition availability breakthroughs constrained limiting,41
1745,10.1109/MNET.2019.1800458,EdgeML,2019,learning model communications active transportation compute applications directly intensive substantially,6
1751,10.3390/app11177993,EdgeML,2021,computing centralized environment communication control network model power dynamically mobility,1
1755,10.1016/j.measurement.2021.109248,EdgeML,2021,cutting detection quality processing traditional improved illumination important influences parts,1
1763,10.1109/JIOT.2019.2893866,EdgeML,2019,processing application devices continuum techniques applications requirement centric computing computation,20
1773,10.1109/TNSE.2022.3185116,EdgeML,2022,adaptive optimization computing frameworks environment maximization applied federated widely existing,0
1775,10.1109/ACCESS.2021.3088237,EdgeML,2021,implementation measurements classification compatible system model vibration measuring monitoring actions,2
1776,10.14778/3476249.3476302,EdgeML,2021,computing complexity computation facilitate advances networking necessary deployments interconnected networks,1
1779,10.1016/j.iot.2023.100783,EdgeML,2023,communication network prediction concerns training computing cooperative framework including applications,0
1781,10.1109/JIOT.2021.3098166,EdgeML,2022,devices microcontroller systems unit majority continuously evolving analytics better constraints,1
1785,10.1002/spe.3033,EdgeML,2023,caching computing environment management resources techniques proactive capability processing network,0
1786,10.1109/TVT.2022.3195571,EdgeML,2022,data transmit scheduling efficiently intelligence critical process generated resources use,0
1787,10.1109/JPROC.2019.2921977,EdgeML,2019,learning applications computation computing inference processing including natural generating devices,78
1789,10.1109/JIOT.2020.2997128,EdgeML,2020,inference compression communication computation results augmentation information implementing applications monitoring,1
1796,10.1109/JSAC.2022.3211564,EdgeML,2022,iterations heterogeneous communication communicable countering relevant massive diseases protection individual,0
1800,10.1109/JSTSP.2022.3165356,EdgeML,2022,learning centralized network communications special distributed section iterative synchronization existing,0
1811,10.1007/s00521-020-04874-y,EdgeML,2020,applications adaptively current intelligent generating processing required large limitations infrastructures,7
1812,10.1007/s00521-021-06815-9,EdgeML,2022,localization computing environments location differentially differential consumption applications monitoring construct,0
1816,10.3390/app10144735,EdgeML,2020,computing enable networks analysis power storage applications connected increased industry,10
1820,10.1145/3229556.3229562,EdgeML,2018,inference performance computation networks technology learning neural backbone constrained devices,21
1821,10.1109/MCE.2021.3099634,EdgeML,2022,detection computing networks securing generation attention targeting connected devices attackers,0
1822,10.1109/LWC.2018.2876344,EdgeML,2019,mobility learning acquisition directly implementing capabilities reasoning network devices ground,3
1830,10.1016/j.measurement.2021.110032,EdgeML,2021,detection industrial interference regions surface processed measurement workpiece inspection preprocessing,1
1837,10.1109/ICRoM54204.2021.9663495,EdgeML,2021,industrial monitoring microcontroller manufacturing companies reasonable quality products decreasing production,2
1841,10.1145/3450288,EdgeML,2021,learning locally model formulate emerging systematic perspective engineering literature implementation,4
1852,10.1109/iccworkshops49005.2020.9145118,EdgeML,2020,computation capacities learning efficient strategies consumption scheduling development resources leverage,23
1853,10.7717/peerj-cs.858,EdgeML,2022,representation classification prediction network embeddings temporal evaluation typically learning embedding,1
1857,10.1145/3341145,EdgeML,2019,systems entities distributed centers currently instantiated limitations components computing increasingly,10
1869,10.1109/TVT.2022.3178612,EdgeML,2022,collected attributes processed enable generate based present informative exploited computation,0
1870,10.1109/TWC.2020.3024980,EdgeML,2021,importance communication reliability retransmission relation measured model imbalanced applications enable,1
1877,10.1109/EDGE.2019.00028,EdgeML,2019,devices increasing network rapidly number locally analysed cloud edge execution,2
1880,10.3390/mi13060851,EdgeML,2022,devices limited processing addition technology fields attention gained placed intelligent,4
1891,10.1109/TCCN.2018.2881442,EdgeML,2018,conventional computing development modeling solutions techniques addressing questions useful tutorial,9
1892,10.1039/c9me00043g,EdgeML,2019,spectra experimental reference oxidation spectroscopy xanes structure absorption characterized identifying,1
1895,10.1109/OJCS.2022.3206407,EdgeML,2022,improvements applications computing techniques federated limitations significant requirements viable solution,0
1896,10.1109/TC.2020.2973631,EdgeML,2020,consumption distribution detection learning capability optimized devices concept similar approach,3
1906,10.1109/MCOM.001.1900649,EdgeML,2020,learning devices enabling present federated research proliferation rapid recent internet,33
1908,10.3390/s21144946,EdgeML,2021,training devices limited reduced number performance reduction consists generate network,1
1918,10.3390/s23031639,EdgeML,2023,computing applications application context perspectives confluence mobility preservation intermediate providing,1
1925,10.1109/JIOT.2021.3063147,EdgeML,2021,learning computing acceleration computational applications environment clusters adapting providing personalized,2
1926,10.1145/3287624.3287716,EdgeML,2019,computing pertaining applications predictive maintenance important possible actual learning failure,4
1927,10.1016/j.jpdc.2022.04.004,EdgeML,2022,infrastructures applications generated evolution increasing processing development requirements mainly complex,2
1932,10.1109/GLOBECOM46510.2021.9685644,EdgeML,2021,parameters differential transferring framework distributed data computation communication typical architecture,2
1933,10.1007/s00607-022-01096-z,EdgeML,2022,training applications application extraction furthermore processed classification activation ability learning,1
1937,10.1109/BigData50022.2020.9378161,EdgeML,2020,devices training different framework learning distributed central model optimization setting,14
1940,10.1007/978-3-030-65310-1_23,EdgeML,2020,scheduling approach learning training process resources mechanism devices revolutionary having,3
1942,10.1109/TITS.2020.3024233,EdgeML,2021,sophisticated applications performance encompasses increasing cognitive vision infotainment enhance expected,5
1944,10.1109/BigDataSecurity-HPSC-IDS49724.2020.00047,EdgeML,2020,services learning predictive computing approach relevant model intelligence network recognition,5
1950,10.1109/TII.2020.3008711,EdgeML,2021,network computing processing data learning creating including connected devices typically,15
1951,10.1109/TGCN.2022.3165262,EdgeML,2022,recommendation framework communication developed networking methods development applications consumption effective,1
1957,10.1109/JSAC.2021.3118424,EdgeML,2022,computing construction performance training construct constraints locally processed generated leveraging,1
1964,10.1145/3132847.3132959,EdgeML,2017,information embedding preserving method propose representations embeddings continuous networks learning,3
1965,10.1016/j.knosys.2022.110072,EdgeML,2023,architecture federated learning capabilities different classification computing advantages edge cloud,1
1976,10.1109/COMST.2022.3209144,EdgeML,2023,sensing existing constrained environments feasibility extensive processing applicability components microcontroller,0
1979,10.1109/MNET.011.2000265,EdgeML,2021,computing backdoor demonstrate stability mechanism development application collaborative learning optimization,1
1987,10.3390/s22010196,EdgeML,2022,computing applications computational implementing processing resources expanding integral network internet,2
1991,10.3991/ijoe.v19i07.38903,EdgeML,2023,techniques model performed advancements increasingly attractive intelligence artificial computing generated,0
1996,10.1016/j.future.2019.02.005,EdgeML,2019,generate processed systems varied data consumption transmission challenges major energy,15
2000,10.1007/s00607-023-01174-w,EdgeML,2023,computing applications centralized data models decentralized provider architecture generation distributed,0
2001,10.1109/COMST.2020.3011561,EdgeML,2020,technology application applications developing reliable emerging communication generation networks researchers,2
2004,10.1109/TCCN.2020.2999606,EdgeML,2021,importance scheduling learning communication distance powering applications emerging technology promising,1
2011,10.1109/TWC.2021.3086116,EdgeML,2021,communication aggregation centralized selection generated networks federated attractive transmission collaboratively,4
2022,10.1109/JIOT.2020.2970110,EdgeML,2020,computation computing networks locally clusters optimal allocation approaches resource capabilities,4
2027,10.1007/s13198-021-01544-7,EdgeML,2022,detection modules features classifier mechanism analysis method orientation thermography identifying,1
2030,10.1007/s13042-018-0834-5,EdgeML,2018,applications application research networking management systems network devices emerging recognition,12
2031,10.1109/ACCESS.2022.3206954,EdgeML,2022,system identification running model complex acceleration sensing recognition method technologies,2
2033,10.1109/TWC.2019.2946245,EdgeML,2020,learning network communication proposed reduction providing leverage intelligent computing advancing,45
2035,10.1109/TITS.2020.3017474,EdgeML,2021,content caching connected networks computation transportation intensive increasing applications existing,17
2038,10.1109/GLOBECOM46510.2021.9685597,EdgeML,2021,classification computing allocation enable efficient context continuously devices data purposes,1
2039,10.1109/TITS.2020.3023958,EdgeML,2021,routing increasing congestion number vehicles traffic computing centralized supporting inference,1
2040,10.1016/j.iot.2023.100749,EdgeML,2023,performance classification specifications networks explores neural paper traditionally constrained different,2
2045,10.1016/j.engappai.2020.103785,EdgeML,2020,learning computing environment proposed accessibility increase power information precise time,3
2046,10.1109/ACCESS.2020.3028240,EdgeML,2020,allocation resources consumption servers requirements resource conditions comprehensive utility computing,1
2050,10.1109/SMARTCOMP50058.2020.00065,EdgeML,2020,implementation efficient electroencephalography interfaces communication activities accessible constraints latency reliability,2
2053,10.1109/ISVLSI.2014.67,EdgeML,2014,current classification architecture based approach design presents pattern stochastic specifically,3
2054,10.1109/TSP.2020.2983166,EdgeML,2020,stochastic learning dimensional quantization approach communication framework normalized distortion enabling,8
2056,10.1109/WCNC49053.2021.9417459,EdgeML,2021,communication networks reduction learning preserving proliferation intelligence external breakthroughs central,0
2065,10.1002/dac.3706,EdgeML,2018,caching computing transmission optimization computation communication imperative cooperative improving formulate,8
2066,10.1109/TVT.2021.3098022,EdgeML,2021,learning federated system proposed training computing optimized offloading dynamic aggregating,4
2073,10.3390/s19163610,EdgeML,2019,computing authentication features recognition identification constrained authentications proposed extraction collection,2
2074,10.1145/3213344.3213345,EdgeML,2018,learning inference computing framework level developers algorithms computer vision neural,8
2075,10.1007/s00607-022-01078-1,EdgeML,2022,learning scheduling training aggregation approach devices selection approaches resources mechanism,2
2083,10.1109/netsoft.2019.8806631,EdgeML,2019,network functions entities function virtualization flexibility depending approach operators,2
2084,10.1109/noms47738.2020.9110473,EdgeML,2020,security strategy standard connected heterogeneous growing devices standardized required m,1
2086,10.1103/PhysRevApplied.17.014016,EdgeML,2022,efficient learning operating implementation current networks existing capabilities compatibility operation,7
2087,10.1109/TII.2020.3010798,EdgeML,2021,digital communication federated development industrial applications emerging artificial increasing resources,1
2089,10.3390/s22165983,EdgeML,2022,learning federated collaborative facilitate ubiquitous intelligence models model locally,0
2093,10.1007/s40747-020-00259-9,EdgeML,2021,monitoring efficient quality performance complex interdependence nature parameters reliable systems,2
2108,10.1109/MCOM.001.2001016,EdgeML,2021,learning decisions approaches cooperatively centralized federated paradigm information process server,2
2111,10.1007/s12083-021-01266-4,EdgeML,2022,caching interest increased requirements mobility request dramatically development networks pressure,1
2118,10.1109/icc40277.2020.9148937,EdgeML,2020,learning applications data federated consumption monitoring response requirements concerns security,10
2122,10.1145/3365109.3368788,EdgeML,2019,learning data generalizable requirement collection knowledge preserving opportunity devices premises,5
2124,10.1126/sciadv.abg1455,EdgeML,2021,processing applications computing critical information dynamic physically extensive sensing separated,64
2129,10.1145/3604933,EdgeML,2024,integration applications solutions technologies presented issues discussed characteristics mobility flexibility,0
2132,10.1186/s12859-019-2914-2,EdgeML,2019,analytical knowledge heterogeneous learning considering embedding approaches mining homogeneous methodology,1
2135,10.1109/TSC.2021.3121879,EdgeML,2023,approach systems effectiveness homogeneous heterogeneous computing prediction formulates system proposed,1
2141,10.35848/1347-4065/ab8d4f,EdgeML,2020,processing computing fundamental relationships capability active complex physical systems transmission,29
2146,10.1109/AICAS54282.2022.9870008,EdgeML,2022,generation neurotechnology intelligence artificial revolutionized currently applications analytical neurological interpret,0
2147,10.1109/JSAC.2021.3118435,EdgeML,2021,asynchronous participating mechanism communication heterogeneity relative different convergence learning constraint,7
2148,10.1109/TNSE.2021.3131246,EdgeML,2022,learning computation inference communication technologies incorporate techniques transferring network data,1
2151,10.1109/JIOT.2020.3023126,EdgeML,2021,federated learning computing framework generative generation method applications continuously technology,9
2157,10.1016/j.comnet.2020.107496,EdgeML,2020,computation environment developments environments mechanisms applications technologies processing augmented complexities,16
2158,10.1049/trit.2019.0049,EdgeML,2020,computing applications prediction learning proposed continuous computation processing needing significant,8
2166,10.1109/ICDCS.2018.00154,EdgeML,2018,server computations execution offload client system offloading especially network limited,3
2169,10.1109/TNSE.2022.3190330,EdgeML,2023,networks learning training limitation allocation frequency efficiency implemented technology effective,1
2172,10.1007/978-3-030-31831-4_35,EdgeML,2019,solutions proposed based architecture connected vertical proprietary growing interoperability leading,1
2178,10.1109/MELECON53508.2022.9843050,EdgeML,2022,approaches consumption contributions community learning hardware presents constrained context targeting,2
2182,10.1109/ICDE53745.2022.00062,EdgeML,2022,existing adaptive pruning computing distributed models learning sources limitation difficulties,1
2188,10.1109/TCSI.2017.2743004,EdgeML,2018,implementation functions processing directly industrial network support computing consumption protection,2
2189,10.1109/JIOT.2021.3095077,EdgeML,2022,model learning constrained implementation environments generates distributed strategy updating training,25
2192,10.1109/MNET.011.2000478,EdgeML,2021,challenges related learning scheduling computing independently contributes distributed technique scalability,5
2199,10.1109/JSAC.2019.2933969,EdgeML,2019,fundamental communications communication systems transforming processing penetrating acquisition handheld devices,6
2206,10.1016/j.comnet.2021.108429,EdgeML,2021,learning solutions mechanism constraints computing models data federated existing constrained,3
2212,10.1109/ACCESS.2018.2890543,EdgeML,2019,multiplication learning computational optimization complexity techniques alternative proposed algorithm time,1
2217,10.1007/s10796-022-10307-z,EdgeML,2022,solution learning devices detection training approach context federated concept distributed,1
2219,10.3390/s22103744,EdgeML,2022,devices constraints existing networks solutions leveraging computation applications complexity connected,2
2220,10.1109/MNET.001.1900200,EdgeML,2020,applications computing offloading increasingly development constrained booming compute combining intensive,5
2225,10.1109/MNET.2018.1700154,EdgeML,2018,capability computing incremental framework training performance environment direction capabilities developed,5
2227,10.1007/978-3-030-61638-0_11,EdgeML,2020,activation channel architecture network function measurements computing applications artificial intelligence,3
2228,10.3390/a12080154,EdgeML,2019,computing performance convolutional usually classification detection compared network requirements higher,3
2229,10.1109/TII.2020.3012090,EdgeML,2021,learning computing estimation selection routing transmission probability applications industrial critical,2
2232,10.1109/INFOCOM42981.2021.9488839,EdgeML,2021,communication compression convergence computing applications technologies enable advances constrained continuous,2
2234,10.1109/ACCESS.2023.3241096,EdgeML,2023,e.g. environment knowledge attacks filtering based proposed different models communication,0
2241,10.1016/j.neucom.2013.05.053,EdgeML,2014,detection methods digital morphological prevention important breast generalization significant efficiency,2
2246,10.1109/TII.2019.2938861,EdgeML,2020,industrial sensor data method developed rapidly internet advent system widespread,10
2247,10.1109/JIOT.2021.3067951,EdgeML,2021,computing implement significant paradigm future role integrating generations functionalities presence,0
2248,10.1109/TVT.2020.2983445,EdgeML,2020,different computation resources consumption model intensive development execution technologies localization,5
2249,10.1109/ACCESS.2020.3010329,EdgeML,2020,caching network critical cooperative approach actions innovations emerging ubiquitous devices,2
2251,10.1109/ACCESS.2022.3174865,EdgeML,2022,computing data traditional current learning networks challenges based aerial unmanned,2
2252,10.1109/JIOT.2020.3004244,EdgeML,2021,computing framework influence aspects systems life intelligent created infrastructure artificial,1
2253,10.1109/TNSE.2022.3200057,EdgeML,2022,communications virtualization functions controller computing dimensional federated central aggregation procedure,0
2254,10.1016/j.comnet.2023.109678,EdgeML,2023,computing performance possible proposed complex implements preserving collaborative mobility environment,2
2255,10.1109/LSENS.2022.3159972,EdgeML,2022,processing implementation implemented encoding computing complex constraints conditions practical condition,1
2261,10.1109/JIOT.2022.3172393,EdgeML,2023,network detection proposed computational resources intrusion computing data intrusions automatically,2
2263,10.3390/s22134874,EdgeML,2022,implementation corresponding transformation degradation increasing agriculture promising preservation consumption microcontrollers,1
2264,10.1109/ACCESS.2020.3041765,EdgeML,2020,communication research challenges expanding massively operations network connected communicating technologies,1
2268,10.1109/JIOT.2019.2897005,EdgeML,2019,inference analytics data computing experimental theoretical utility applications networks learning,3
2277,10.3390/s21196526,EdgeML,2021,processing applications platform literature porting perform forecasts detection overall measurement,2
2278,10.1016/j.comnet.2020.107478,EdgeML,2020,optimization applications communications problems construction monitoring agriculture notable improvements mobility,2
2289,10.1109/JIOT.2020.2967772,EdgeML,2020,learning network proposed mechanism generates large data amounts classification prediction,19
2296,10.1145/3458817.3480958,EdgeML,2021,learning devices computing significant existing unreliable efficient approach applications assimilate,2
2306,10.1109/TPDS.2023.3277423,EdgeML,2023,training data proposed computing efficient learning problem distribution inference provisioning,0
2308,10.1109/ACCESS.2020.2975004,EdgeML,2020,optimisation computing proactive promising performance making framework including operational,3
2312,10.1109/COMST.2023.3273121,EdgeML,2023,migration communication management requirements application granular increasingly computing reliability critical,0
2314,10.1007/s00170-016-9541-0,EdgeML,2017,processes cutting approach milling present specifically descriptor techniques vision computed,2
2331,10.3390/electronics9091379,EdgeML,2020,computing learning security accessibility processing management especially datacenters private public,1
2342,10.1007/978-3-030-20518-8_55,EdgeML,2019,network formulated prediction regression predicting collaborations study authorship represented authors,2
2346,10.1109/LES.2022.3160281,EdgeML,2022,effective superficial model diagnosing initial mortality stages resultant developing individual,2
2347,10.1109/TIA.2019.2958530,EdgeML,2020,devices learning applications existing classifier approaches intermediaries actuators application servers,1
2350,10.1109/ICHI54592.2022.00047,EdgeML,2022,solution inference constrained proposed solutions techniques resource devices microcontroller related,1
2355,10.1016/j.jpdc.2022.04.021,EdgeML,2022,industrial data performance approach increasingly manufacturing insufficient individual directly benefit,1
2358,10.1109/TVT.2022.3144654,EdgeML,2022,learning computing applications processing involving devices increasing typical environmental monitoring,1
2362,10.3390/s21237774,EdgeML,2021,imputation values computing developments environments monitoring actuation unprocessed solutions unsustainable,0
2363,10.1016/j.matpr.2021.12.349,EdgeML,2022,current estimations effective interface protection physical contraption independent preparing machines,0
2368,10.1109/JIOT.2021.3102945,EdgeML,2022,computing inference selection aes resources learning performance algorithm intelligence devices,0
2373,10.1007/s10586-019-02971-9,EdgeML,2020,classification computing performance consumption increasingly processing systems viable infrastructures addition,3
2376,10.3390/s21041064,EdgeML,2021,model quantisation optimised processing monitoring dimensional considered location unsuitable constrained,3
2379,10.1038/s41699-018-0084-0,EdgeML,2019,optical substrates exfoliated feature complementing recognition techniques enable intelligence identification,2
2386,10.1109/MASS.2017.91,EdgeML,2017,computation constraints solution offloading distance networks researchers frameworks developed computationally,5
2390,10.3390/fi14120363,EdgeML,2022,environments frameworks emergence created modern algorithms consumption particular reduction increased,4
2393,10.1109/TII.2021.3056076,EdgeML,2021,environment industrial monitoring computing operating different controlling manufacturing exponential automated,4
2398,10.1109/JSTSP.2022.3223759,EdgeML,2023,training network networks development technologies cellular learning g components wireless,0
2400,10.1038/s41928-020-00523-3,EdgeML,2021,approaches variability locally technologies systems intelligent create typically particularly resistive,24
2407,10.14778/3415478.3415539,EdgeML,2020,learning data systems emerging tools powerful dependency industrial challenging inherent,4
2418,10.1109/TWC.2019.2961673,EdgeML,2020,computing computation limited aggregation locally selection applications requirements emerging inapplicable,50
2419,10.1109/JIOT.2019.2948396,EdgeML,2020,detection networks fundamental requirement industry process focusing techniques applying utilization,2
2422,10.1109/IEMTRONICS52119.2021.9422544,EdgeML,2021,learning prediction framework consumption management systems building data presented budgeting,1
2424,10.1145/3456630,EdgeML,2021,processing devices data applications activities research present interactions environment numerous,0
2443,10.1109/ACCESS.2020.2981434,EdgeML,2020,computing offloading reinforcement computation constraints application intensive effective systems physical,6
2454,10.1109/MNET.011.2000371,EdgeML,2021,introducing connected concept intelligence simplicity techniques reasoning solution technological applications,2
2455,10.1109/EDGE.2018.00013,EdgeML,2018,performance techniques devices transfer transferring architectures computing applications recognition artificial,6
2457,10.3390/jlpea12020033,EdgeML,2022,applications computing current alleviating significantly processes potentially enabling particularly enable,0
2461,10.1109/MWC.001.2000252,EdgeML,2021,training importance scheduling schemes processing increasing intelligence federated network limited,3
2463,10.1109/JIOT.2020.3026211,EdgeML,2021,detection approach methodology distributed processing centralized solutions implementation continuous processes,2
2466,10.1016/j.future.2018.06.042,EdgeML,2019,systems components processes techniques learning computing physical promising paradigm computation,8
2473,10.1093/jmicro/dfz109,EdgeML,2020,functions interpretation approaches structure properties prediction characterization materials development indispensable,3
2476,10.1016/j.future.2023.07.035,EdgeML,2024,proposed optimization placement allocation association technological advancements systems increased resulted,0
2481,10.1109/TVT.2020.3027306,EdgeML,2020,learning attributes distributed technique model large centralized traditional parameters process,5
2491,10.1155/2021/8868355,EdgeML,2021,computing surrounding environment networks applications systems efficient solutions learning modeling,4
